Fold	Epoch	Time	RMSE_tr	R2_tr	MAE_te	RMSE_te	R2_te	PCC_te	SCC_te
0	1	103.8	1.3326	0.2334	1.1209	1.4531	0.131	0.3743	0.3976
0	2	206.6	1.0778	0.4985	1.131	1.4933	0.0822	0.4151	0.4297
0	3	309.0	0.9883	0.5784	1.0933	1.4345	0.1531	0.4106	0.4245
0	4	411.4	0.9322	0.6248	1.0915	1.4441	0.1417	0.4228	0.438
0	5	514.0	0.9045	0.6468	1.097	1.4488	0.1361	0.4277	0.4353
0	6	616.4	0.8801	0.6656	1.1241	1.4657	0.1159	0.3905	0.4112
0	7	718.6	0.8609	0.6801	1.1701	1.5168	0.0531	0.3751	0.3887
0	8	820.9	0.8437	0.6927	1.1248	1.4665	0.1149	0.3928	0.4022
0	9	922.0	0.8356	0.6985	1.1721	1.5208	0.0482	0.3625	0.3701
0	10	1024.4	0.7801	0.7373	1.1989	1.554	0.0061	0.357	0.3635
0	11	1126.1	0.7668	0.7461	1.1935	1.5523	0.0082	0.3713	0.3794
0	12	1227.5	0.7575	0.7523	1.1809	1.5347	0.0307	0.3562	0.3653
0	13	1329.2	0.7526	0.7555	1.1731	1.5234	0.0449	0.3753	0.3816
0	14	1431.5	0.7453	0.7602	1.2363	1.6047	-0.0598	0.328	0.3383
0	15	1533.5	0.7411	0.7629	1.2046	1.5585	0.0003	0.3499	0.3551
0	16	1635.4	0.7345	0.7671	1.1959	1.5507	0.0103	0.3451	0.3464
0	17	1738.0	0.7305	0.7696	1.2098	1.5659	-0.0091	0.3384	0.3419
0	18	1839.4	0.7246	0.7733	1.2235	1.5829	-0.0312	0.3337	0.3392
0	19	1941.5	0.7237	0.7739	1.1995	1.5561	0.0034	0.3524	0.3605
0	20	2043.7	0.69	0.7945	1.2366	1.6015	-0.0556	0.3271	0.3342
0	21	2146.1	0.6815	0.7995	1.2174	1.5782	-0.025	0.325	0.3349
0	22	2248.0	0.6773	0.8019	1.2273	1.5912	-0.0421	0.3366	0.345
0	23	2350.3	0.6724	0.8048	1.2168	1.5713	-0.0161	0.329	0.3389
0	24	2452.2	0.6718	0.8052	1.2173	1.5763	-0.0226	0.3279	0.337
0	25	2554.3	0.667	0.8079	1.222	1.5817	-0.0297	0.3291	0.3389
0	26	2656.4	0.6632	0.8101	1.2209	1.5874	-0.037	0.3336	0.3461
0	27	2757.5	0.6584	0.8129	1.219	1.5764	-0.0228	0.323	0.3371
0	28	2859.4	0.657	0.8137	1.1787	1.5314	0.0348	0.3508	0.3634
0	29	2961.3	0.6539	0.8154	1.2096	1.5665	-0.01	0.3232	0.337
0	30	3063.9	0.6346	0.8261	1.225	1.5891	-0.0393	0.3265	0.3362
0	31	3166.1	0.6292	0.8291	1.2165	1.5791	-0.0263	0.325	0.3389
0	32	3268.6	0.6259	0.8309	1.2081	1.5721	-0.0172	0.33	0.3439
0	33	3371.1	0.6223	0.8328	1.2087	1.5792	-0.0264	0.3367	0.3517
0	34	3473.4	0.6185	0.8349	1.2135	1.582	-0.03	0.3328	0.3482
0	35	3575.9	0.6183	0.8349	1.2165	1.588	-0.0379	0.3274	0.3456
0	36	3678.7	0.6161	0.8362	1.202	1.5684	-0.0125	0.3296	0.3462
0	37	3781.3	0.6131	0.8377	1.2174	1.5868	-0.0363	0.3244	0.3398
0	38	3883.4	0.6119	0.8383	1.2251	1.6007	-0.0545	0.3199	0.3372
0	39	3985.9	0.6077	0.8406	1.2189	1.5926	-0.0439	0.3233	0.3393
0	40	4088.4	0.5955	0.8469	1.2098	1.5808	-0.0285	0.3219	0.3386
0	41	4191.2	0.5914	0.849	1.2219	1.599	-0.0523	0.3244	0.3409
0	42	4293.3	0.5906	0.8494	1.2089	1.582	-0.0301	0.3242	0.342
0	43	4396.2	0.5886	0.8504	1.2145	1.5925	-0.0437	0.3259	0.3443
0	44	4498.4	0.5858	0.8519	1.2291	1.6111	-0.0683	0.3251	0.3442
0	45	4600.6	0.5851	0.8522	1.2167	1.5941	-0.0459	0.3173	0.3367
0	46	4703.0	0.584	0.8528	1.2167	1.5917	-0.0427	0.322	0.3392
0	47	4804.8	0.5819	0.8538	1.2316	1.6168	-0.0758	0.3174	0.338
0	48	4907.1	0.5805	0.8545	1.2244	1.6039	-0.0588	0.317	0.338
0	49	5008.6	0.5786	0.8555	1.227	1.6074	-0.0635	0.3204	0.34
0	50	5110.2	0.5706	0.8594	1.2258	1.6076	-0.0636	0.3228	0.3435
1	1	102.3	1.4425	0.1134	1.0963	1.3886	0.1229	0.38	0.301
1	2	203.3	1.3829	0.1851	1.1166	1.4166	0.0872	0.3847	0.3067
1	3	304.5	1.36	0.212	1.1295	1.4541	0.0382	0.3917	0.2963
1	4	406.3	1.2324	0.3529	1.0799	1.3729	0.1426	0.3916	0.3127
1	5	508.3	1.0382	0.5408	1.1474	1.4781	0.0063	0.3203	0.2586
1	6	610.0	0.9597	0.6076	1.1804	1.5024	-0.0267	0.3139	0.2591
1	7	710.7	0.9199	0.6394	1.1531	1.4741	0.0116	0.3108	0.265
1	8	812.9	0.889	0.6633	1.1772	1.4771	0.0076	0.3206	0.2847
1	9	915.2	0.8713	0.6765	1.2042	1.5005	-0.0242	0.2776	0.2295
1	10	1017.8	0.8007	0.7268	1.2083	1.5291	-0.0635	0.3022	0.2551
1	11	1120.6	0.7854	0.7372	1.1989	1.5263	-0.0596	0.3034	0.2595
1	12	1222.3	0.7763	0.7433	1.1312	1.4377	0.0598	0.3329	0.2815
1	13	1325.0	0.7654	0.7504	1.1654	1.4915	-0.0119	0.3031	0.2597
1	14	1427.9	0.7607	0.7534	1.1878	1.5101	-0.0372	0.2865	0.2386
1	15	1530.5	0.7552	0.757	1.1619	1.4828	-0.0001	0.3145	0.2697
1	16	1632.7	0.7484	0.7614	1.2075	1.5337	-0.07	0.2948	0.2537
1	17	1734.9	0.7432	0.7647	1.2215	1.5487	-0.091	0.3043	0.2661
1	18	1837.3	0.7375	0.7683	1.2221	1.5582	-0.1044	0.28	0.2532
1	19	1939.5	0.7365	0.7689	1.2064	1.5415	-0.0808	0.3053	0.2673
1	20	2042.5	0.6985	0.7921	1.1984	1.5283	-0.0624	0.2951	0.2626
1	21	2145.1	0.689	0.7977	1.1974	1.5219	-0.0536	0.3065	0.2742
1	22	2248.1	0.6842	0.8006	1.1993	1.5305	-0.0655	0.2898	0.263
1	23	2350.6	0.6785	0.8039	1.2146	1.5555	-0.1006	0.2907	0.2653
1	24	2452.7	0.6742	0.8063	1.2213	1.5645	-0.1134	0.2876	0.2704
1	25	2555.5	0.6693	0.8092	1.2229	1.5557	-0.1009	0.3044	0.278
1	26	2657.3	0.6672	0.8103	1.226	1.5642	-0.1129	0.2988	0.2719
1	27	2760.0	0.662	0.8133	1.2591	1.6121	-0.1821	0.2885	0.2632
1	28	2862.4	0.658	0.8155	1.2436	1.589	-0.1485	0.2861	0.2656
1	29	2964.6	0.6548	0.8173	1.2302	1.5671	-0.117	0.2873	0.2599
1	30	3067.1	0.6303	0.8307	1.2382	1.5802	-0.1358	0.2907	0.2618
1	31	3169.6	0.6241	0.834	1.2257	1.5689	-0.1197	0.286	0.2634
1	32	3271.7	0.6201	0.8361	1.2496	1.5952	-0.1574	0.2859	0.2581
1	33	3374.6	0.6162	0.8382	1.2565	1.6043	-0.1708	0.2892	0.2608
1	34	3476.6	0.6127	0.84	1.2508	1.5994	-0.1636	0.2774	0.2543
1	35	3578.6	0.6107	0.8411	1.2596	1.6093	-0.178	0.28	0.2545
1	36	3681.5	0.6068	0.8431	1.2574	1.6034	-0.1694	0.2864	0.2607
1	37	3784.1	0.6037	0.8447	1.2666	1.6196	-0.1932	0.2638	0.2417
1	38	3886.5	0.6006	0.8463	1.2388	1.5828	-0.1395	0.2852	0.2585
1	39	3988.5	0.5986	0.8474	1.2525	1.6019	-0.1672	0.2738	0.2468
1	40	4090.9	0.582	0.8557	1.279	1.635	-0.216	0.2677	0.2417
1	41	4193.3	0.5775	0.8579	1.2722	1.6273	-0.2045	0.275	0.2468
1	42	4295.5	0.5748	0.8592	1.2605	1.6128	-0.1832	0.273	0.2468
1	43	4397.9	0.5726	0.8603	1.2636	1.6148	-0.1861	0.2727	0.242
