Fold	Epoch	Time	RMSE_tr	R2_tr	MAE_te	RMSE_te	R2_te	PCC_te	SCC_te
0	1	97.2	1.6569	0.1224	1.4756	1.9464	-0.1355	0.1682	0.1893
0	2	192.3	1.4209	0.3545	1.4466	1.9112	-0.0948	0.1584	0.1943
0	3	287.4	1.34	0.4259	1.4174	1.8572	-0.0338	0.1933	0.2313
0	4	383.2	1.284	0.4729	1.4706	1.932	-0.1187	0.1999	0.2385
0	5	478.3	1.2473	0.5026	1.5438	2.0033	-0.2029	0.1394	0.179
0	6	574.4	1.2219	0.5227	1.584	2.0365	-0.243	0.169	0.1933
0	7	669.2	1.198	0.5412	1.567	2.0179	-0.2205	0.1659	0.1922
0	8	764.6	1.1818	0.5535	1.5632	2.0365	-0.2431	0.1705	0.2113
0	9	859.9	1.1596	0.5701	1.5593	2.0213	-0.2245	0.1546	0.1908
0	10	955.2	1.0973	0.6151	1.5454	1.9968	-0.1951	0.17	0.2009
0	11	1049.7	1.0795	0.6275	1.6035	2.0654	-0.2785	0.1483	0.1741
0	12	1144.7	1.0693	0.6344	1.5943	2.0469	-0.2558	0.1457	0.1655
0	13	1239.7	1.0602	0.6407	1.6127	2.0676	-0.2813	0.1501	0.1711
0	14	1334.2	1.0531	0.6455	1.5858	2.0381	-0.245	0.1498	0.1666
0	15	1429.1	1.0469	0.6496	1.5955	2.0503	-0.2599	0.1626	0.1756
0	16	1524.5	1.0408	0.6537	1.5639	2.0074	-0.2078	0.1605	0.1776
0	17	1619.7	1.0359	0.6569	1.6528	2.1096	-0.3339	0.1364	0.149
0	18	1715.2	1.0293	0.6613	1.5971	2.0492	-0.2586	0.1399	0.1535
0	19	1810.1	1.0223	0.6659	1.644	2.1058	-0.3291	0.1402	0.1532
0	20	1905.1	0.9875	0.6883	1.6566	2.1222	-0.3499	0.144	0.1573
0	21	1999.6	0.9791	0.6935	1.654	2.1244	-0.3528	0.1343	0.1468
0	22	2093.4	0.9756	0.6957	1.6335	2.1012	-0.3233	0.1348	0.148
0	23	2188.1	0.9705	0.6989	1.6253	2.0908	-0.3103	0.1392	0.1508
0	24	2283.6	0.9668	0.7012	1.6303	2.095	-0.3156	0.1313	0.143
