Fold	Epoch	Time	RMSE_tr	R2_tr	MAE_te	RMSE_te	R2_te	PCC_te	SCC_te
0	1	157.3	1.0882	0.2732	0.8485	1.0919	0.3616	0.6045	0.5952
0	2	315.0	0.9319	0.467	0.8467	1.0938	0.3594	0.6022	0.5964
0	3	470.3	0.8837	0.5207	0.8785	1.134	0.3114	0.5812	0.5793
0	4	625.0	0.8537	0.5527	0.901	1.1607	0.2786	0.5476	0.5424
0	5	779.3	0.836	0.571	0.8819	1.1395	0.3047	0.554	0.5593
0	6	935.3	0.8218	0.5855	0.899	1.162	0.2769	0.539	0.5325
0	7	1090.0	0.8066	0.6007	0.9172	1.1779	0.257	0.5394	0.5383
0	8	1245.9	0.7913	0.6157	0.9099	1.1742	0.2617	0.5255	0.5167
0	9	1401.5	0.7785	0.628	0.9285	1.1962	0.2337	0.5183	0.5209
0	10	1557.0	0.7323	0.6708	0.9343	1.2096	0.2165	0.4907	0.4895
0	11	1713.4	0.7201	0.6818	0.9544	1.2374	0.1801	0.4683	0.4658
0	12	1868.7	0.7094	0.6911	1.0026	1.2958	0.1008	0.4302	0.4321
0	13	2024.9	0.7026	0.6971	1.0116	1.3064	0.086	0.4282	0.426
0	14	2179.9	0.6948	0.7037	0.9584	1.2397	0.177	0.4648	0.4646
0	15	2336.0	0.6883	0.7093	0.9757	1.2654	0.1426	0.454	0.4569
0	16	2491.1	0.6813	0.7152	0.9914	1.2912	0.1073	0.4403	0.4455
0	17	2647.1	0.6761	0.7194	1.0319	1.3449	0.0313	0.393	0.3985
0	18	2801.9	0.6701	0.7244	1.0071	1.3132	0.0765	0.4247	0.4317
0	19	2956.7	0.6662	0.7276	1.0101	1.3122	0.0779	0.413	0.4204
0	20	3111.5	0.6367	0.7512	0.9915	1.286	0.1143	0.4501	0.4566
0	21	3266.0	0.6291	0.7571	1.0099	1.3121	0.078	0.4236	0.4341
0	22	3420.7	0.6252	0.7601	1.0128	1.3194	0.0678	0.4085	0.4193
0	23	3575.6	0.6203	0.7638	1.0091	1.3172	0.0709	0.4232	0.4388
0	24	3729.9	0.6162	0.767	1.0239	1.3332	0.0482	0.3981	0.4121
0	25	3890.8	0.6128	0.7695	1.0275	1.337	0.0428	0.4106	0.4257
0	26	4055.6	0.6102	0.7715	1.0347	1.3535	0.019	0.3975	0.4137
0	27	4231.3	0.6073	0.7736	1.0466	1.362	0.0066	0.3909	0.4006
0	28	4420.8	0.6031	0.7768	1.0242	1.3277	0.056	0.4222	0.4305
0	29	4611.2	0.6009	0.7784	1.0252	1.3358	0.0445	0.398	0.4116
0	30	4800.6	0.5787	0.7944	1.0388	1.3573	0.0134	0.3926	0.4096
0	31	4991.0	0.574	0.7978	1.0366	1.353	0.0198	0.3867	0.4015
0	32	5179.8	0.57	0.8006	1.0499	1.3683	-0.0026	0.393	0.408
0	33	5370.7	0.5669	0.8028	1.0409	1.3563	0.015	0.3988	0.4123
0	34	5561.5	0.5648	0.8042	1.0461	1.3615	0.0074	0.3858	0.4006
0	35	5751.6	0.5613	0.8066	1.0694	1.3887	-0.0327	0.3808	0.394
0	36	5940.9	0.5591	0.8082	1.0652	1.3861	-0.0289	0.3699	0.3875
0	37	6131.7	0.556	0.8103	1.0529	1.3687	-0.0032	0.3887	0.4005
0	38	6321.4	0.553	0.8123	1.0494	1.3675	-0.0014	0.3915	0.4085
0	39	6511.8	0.5506	0.8139	1.0665	1.3825	-0.0235	0.3858	0.3992
0	40	6702.2	0.537	0.823	1.0791	1.4016	-0.052	0.3783	0.3925
0	41	6891.0	0.533	0.8257	1.0679	1.3909	-0.036	0.3735	0.3918
0	42	7080.3	0.5306	0.8272	1.0776	1.4027	-0.0536	0.362	0.3826
0	43	7268.8	0.5282	0.8288	1.0792	1.4003	-0.05	0.3695	0.3878
0	44	7457.7	0.5262	0.83	1.0875	1.4122	-0.068	0.3627	0.3813
0	45	7646.7	0.5232	0.832	1.0671	1.388	-0.0316	0.3831	0.3984
0	46	7835.2	0.5223	0.8325	1.0816	1.4055	-0.0578	0.3677	0.387
0	47	8023.2	0.5197	0.8342	1.0833	1.4025	-0.0534	0.3741	0.3906
0	48	8212.0	0.5177	0.8355	1.0904	1.4169	-0.075	0.355	0.3768
0	49	8399.2	0.5159	0.8366	1.0876	1.4116	-0.0671	0.3654	0.385
0	50	8586.9	0.5068	0.8424	1.1	1.4253	-0.0879	0.3582	0.3755
1	1	188.0	1.0818	0.3009	0.8256	1.0663	0.2281	0.5276	0.5289
1	2	376.6	0.9341	0.4788	0.8154	1.0478	0.2547	0.5109	0.5027
1	3	563.6	0.8862	0.5309	0.8811	1.128	0.1362	0.4779	0.4745
1	4	739.8	0.8554	0.563	0.8303	1.0657	0.229	0.5042	0.5005
1	5	913.1	0.8409	0.5776	0.8796	1.1178	0.1518	0.4508	0.4434
1	6	1086.6	0.8222	0.5962	0.9012	1.1524	0.0984	0.4402	0.4355
1	7	1260.4	0.8087	0.6094	0.888	1.1366	0.1231	0.4442	0.4391
1	8	1433.5	0.7952	0.6223	0.9587	1.2205	-0.0113	0.4595	0.4566
1	9	1606.8	0.8073	0.6107	0.9788	1.2474	-0.0563	0.374	0.3617
1	10	1780.3	0.7548	0.6597	0.9043	1.1546	0.095	0.419	0.4082
1	11	1953.7	0.7439	0.6695	0.9146	1.1621	0.0832	0.4196	0.4066
1	12	2128.6	0.7363	0.6762	0.9377	1.1843	0.0479	0.4051	0.387
1	13	2303.2	0.7268	0.6845	0.9362	1.1898	0.039	0.3867	0.3747
1	14	2478.0	0.7204	0.69	1.0286	1.3102	-0.1653	0.3786	0.3652
1	15	2652.0	0.7143	0.6952	1.0112	1.2861	-0.1228	0.3409	0.326
1	16	2825.6	0.7071	0.7014	0.9352	1.1946	0.0312	0.3831	0.3681
1	17	2999.3	0.7017	0.7059	0.9493	1.208	0.0094	0.3766	0.3639
1	18	3172.5	0.6992	0.708	0.9582	1.2273	-0.0225	0.3879	0.3824
1	19	3347.3	0.7062	0.7021	0.9965	1.273	-0.1001	0.3619	0.3521
1	20	3521.0	0.6759	0.7271	1.0111	1.29	-0.1297	0.3175	0.3096
1	21	3695.9	0.6665	0.7346	0.9345	1.2033	0.0171	0.3727	0.3664
1	22	3871.0	0.6615	0.7386	0.9482	1.2182	-0.0074	0.3698	0.3668
1	23	4046.0	0.6563	0.7427	0.9768	1.2575	-0.0735	0.3517	0.3452
1	24	4220.9	0.6511	0.7467	0.9791	1.2585	-0.0752	0.3619	0.3543
1	25	4395.2	0.6474	0.7496	0.9675	1.2401	-0.044	0.3453	0.3403
1	26	4570.0	0.6464	0.7504	0.9966	1.2828	-0.1171	0.3414	0.3364
1	27	4744.5	0.6439	0.7524	0.9565	1.2275	-0.0228	0.3721	0.3686
1	28	4919.1	0.6381	0.7568	0.9998	1.2837	-0.1186	0.3518	0.3431
1	29	5094.5	0.6337	0.7601	0.9744	1.2502	-0.0611	0.3603	0.3554
1	30	5268.9	0.616	0.7734	1.0165	1.3038	-0.1539	0.3224	0.313
1	31	5443.5	0.6084	0.7789	0.9983	1.283	-0.1175	0.3516	0.3427
1	32	5617.8	0.6085	0.7788	1.0181	1.3072	-0.1599	0.3318	0.3213
1	33	5792.1	0.6037	0.7823	0.9846	1.2657	-0.0876	0.3519	0.3427
1	34	5966.2	0.5992	0.7855	0.9931	1.2757	-0.1048	0.3543	0.3465
1	35	6140.3	0.5974	0.7868	1.0078	1.2961	-0.1404	0.3307	0.3219
1	36	6314.8	0.5944	0.7889	1.021	1.3122	-0.1689	0.341	0.3338
1	37	6490.4	0.5941	0.7892	1.0169	1.3071	-0.1597	0.3237	0.3134
1	38	6665.5	0.5913	0.7911	1.0136	1.3021	-0.1509	0.3371	0.3273
1	39	6839.8	0.5866	0.7945	1.0108	1.3008	-0.1486	0.3249	0.3131
1	40	7014.7	0.5736	0.8035	1.009	1.2959	-0.14	0.3313	0.3212
1	41	7189.1	0.5703	0.8057	1.0026	1.2876	-0.1254	0.3366	0.3255
1	42	7362.3	0.5685	0.807	1.0264	1.3178	-0.1789	0.3269	0.3154
1	43	7536.5	0.5664	0.8084	1.0191	1.3098	-0.1645	0.3316	0.3222
1	44	7710.8	0.5643	0.8098	1.0165	1.307	-0.1597	0.325	0.3135
1	45	7883.8	0.5615	0.8117	1.0107	1.2952	-0.1387	0.339	0.3273
1	46	8057.6	0.5602	0.8125	1.0229	1.3117	-0.168	0.3347	0.3215
1	47	8231.4	0.558	0.814	1.0154	1.3025	-0.1516	0.3337	0.3214
1	48	8406.2	0.556	0.8153	1.0422	1.3349	-0.2098	0.3193	0.3085
1	49	8581.6	0.5539	0.8167	1.0042	1.2843	-0.1197	0.3437	0.332
1	50	8743.1	0.5457	0.8221	1.0264	1.3152	-0.1742	0.33	0.3185
2	1	154.0	1.0768	0.295	0.8866	1.1622	0.2238	0.5047	0.5178
2	2	308.6	0.9251	0.4796	0.9255	1.1992	0.1735	0.475	0.4925
2	3	464.1	0.8715	0.5382	0.8819	1.1556	0.2326	0.501	0.5232
2	4	618.7	0.8436	0.5672	0.8755	1.1411	0.2516	0.5077	0.5286
2	5	773.5	0.8208	0.5903	0.8965	1.1728	0.2095	0.4965	0.513
2	6	927.6	0.8041	0.6069	0.905	1.1818	0.1973	0.4684	0.491
2	7	1085.4	0.7902	0.6203	0.8933	1.1673	0.217	0.4893	0.5098
2	8	1240.5	0.7785	0.6315	0.9027	1.1798	0.2	0.4893	0.5109
2	9	1393.8	0.7711	0.6384	0.9131	1.1904	0.1856	0.4728	0.4905
2	10	1547.8	0.7279	0.6778	0.9071	1.1799	0.1999	0.4695	0.4849
2	11	1706.7	0.718	0.6866	0.913	1.1935	0.1814	0.4779	0.4928
2	12	1862.4	0.7128	0.6911	0.9604	1.2452	0.109	0.4302	0.4464
2	13	2016.7	0.7067	0.6964	0.9316	1.2149	0.1518	0.4545	0.4675
2	14	2170.8	0.7043	0.6984	0.9158	1.1992	0.1735	0.4688	0.4857
2	15	2324.6	0.6995	0.7025	0.9631	1.2541	0.0962	0.4335	0.4503
2	16	2478.2	0.6955	0.7059	0.9306	1.2148	0.1519	0.4465	0.4613
2	17	2637.6	0.6935	0.7075	0.9263	1.2112	0.157	0.4479	0.4642
2	18	2791.4	0.6923	0.7086	0.9387	1.2264	0.1356	0.4522	0.4684
2	19	2945.7	0.6907	0.7099	0.9723	1.2714	0.0711	0.4355	0.4528
2	20	3100.2	0.6665	0.7299	0.9408	1.2284	0.1328	0.4414	0.4566
2	21	3254.9	0.661	0.7344	0.9649	1.2556	0.094	0.4312	0.4467
2	22	3408.9	0.6573	0.7373	0.9568	1.2448	0.1095	0.4172	0.4341
2	23	3566.5	0.6546	0.7394	0.9551	1.2449	0.1093	0.431	0.4477
2	24	3720.3	0.6552	0.739	0.9771	1.2789	0.0601	0.4132	0.4355
2	25	3873.5	0.6561	0.7383	0.9735	1.2706	0.0721	0.4181	0.4377
